"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo";"DATA_ABERTURA";"DATA_FINAL"
2456;"Brasil, 72010-120";-15,935416;-57,0254782;1;NA;2006-09-28
2455;"Brasil, 71920-540";-15,8328955;-48,0339783;1;NA;2006-09-28
1767;"Brasil, 01035-000";-23,54392165;-46,6378136263158;1;1991-11-19;2007-08-01
1768;"Brasil, 01035-000";-23,54392165;-46,6378136263158;1;1991-11-19;2007-08-21
2826;"Brasil, 74465-280";-9,945222;-67,8850584;1;NA;2006-05-05
1769;"Brasil, 01040-000";-23,5412770222222;-46,6385579111111;1;1991-11-19;2005-05-17
1766;"Brasil, 37900-013";-30,81836325;-53,9064460505515;1;1991-11-19;2005-05-17
13452;"Brasil, 69050-902";-24,2705188;-53,8493846460734;1;1991-12-19;2014-05-15
6426;"Brasil, 09720-040";-23,6989273;-46,55248975;1;2002-04-02;2024-12-10
22170;"Brasil, 13024-045";-22,8900649;-47,0543685666667;1;NA;NA
5336;"Brasil, 17048-290";-30,53220635;-52,5228021962274;1;2006-09-26;2015-06-01
16510;"Brasil, 88900-000";-28,9308114862069;-49,4818298772414;1;2004-05-14;2004-05-14
6732;"Brasil, 01035-000";-23,54392165;-46,6378136263158;1;1975-09-02;2024-12-10
2771;"Brasil, 18110-650";-23,5360851;-47,4645055;1;1998-12-24;2013-09-23
6603;"Brasil, 13471-200";-22,7336068;-47,331719;1;1998-10-05;2009-04-23
4374;"Brasil, 13560-970";-22,0527941;-47,863997;1;1997-09-16;2024-12-10
3102;"Brasil, 84035-000";-21,053976;-49,6834459;1;2003-05-05;2024-12-10
24150;"Brasil, 13060-803";-22,9247795;-47,124968;1;2012-12-14;2024-12-10
3137;"Brasil, 15090-305";-20,84103585;-49,40140025;1;2001-11-01;2024-12-10
20405;"Brasil, 29160-161";-30,5468309;-52,5324457310307;1;2011-12-21;2024-12-10
2781;"Brasil, 13414-018";-22,7032228;-47,652692;1;2001-06-01;2024-12-10
6397;"Brasil, 79830-903";-9,9520284;-67,8354401;1;2006-06-09;2024-12-10
20363;"Brasil, 69914-220";-9,967945675;-67,8127711;1;2011-11-18;2024-12-10
3121;"Brasil, 17041-170";-30,54246435;-52,5282085894729;1;1980-09-09;2008-01-06
2328;"Brasil, 94010-000";-29,9449928;-50,9934745;1;2003-03-06;2008-06-09
2329;"Brasil, 95555-000";-29,7371794658537;-50,0068401609756;1;1997-08-20;2008-06-09
2327;"Brasil, 94480-500";-30,0633025;-51,1077439;1;2003-03-06;2008-06-09
21808;"Brasil, 89052-050";-26,888825;-49,0679599;1;2012-06-15;2012-12-31
20687;"Brasil, 89805-203";-27,0716676;-52,6261423;1;2011-12-16;2012-12-31
16304;"Brasil, 94902-970";-9,9445709;-67,8001442;1;2011-04-14;2012-12-31
24038;"Brasil, 88330-000";-26,99230982;-48,63246402;1;2013-01-01;2022-05-27
24039;"Brasil, 99010-050";-28,26288405;-52,40938255;1;2013-01-01;2024-12-10
24040;"Brasil, 95700-000";-29,1880531107143;-51,5391095714286;1;2013-01-01;2015-11-03
24042;"Brasil, 85810-230";-24,9506749;-53,4768675;1;2013-01-01;2022-05-27
24043;"Brasil, 13480-013";-30,81836325;-53,9064460505515;1;2013-01-01;2024-12-10
24044;"Brasil, 19013-030";-22,1315997;-51,3901637;1;2013-01-01;2022-05-27
24036;"Brasil, 71936-250";-15,8348863566667;-48,042879;1;2013-01-01;2024-12-10
24037;"Brasil, 60160-230";-3,73391958431373;-38,4947797313725;1;2013-01-01;2022-05-27
24041;"Brasil, 94950-001";-29,9377164;-51,0814800333333;1;2013-01-01;2024-12-10
34183;"Brasil, 94035-240";-29,9509977;-50,9961685;1;2016-09-09;2024-12-10
24064;"Brasil, 91110-000";-30,00463265;-51,1380829;1;2013-01-01;2022-05-27
24066;"Brasil, 91010-000";-30,0061148;-51,1844907;1;2013-01-01;2013-05-03
24065;"Brasil, 99050-000";-28,2413381;-52,379562575;1;2013-01-01;2015-02-02
24048;"Brasil, 88110-000";-15,61050205;-56,1544917542865;1;2013-01-01;2022-05-28
24049;"Brasil, 88301-320";-26,916135475;-48,6553508;1;2013-01-01;2024-12-10
24050;"Brasil, 89251-000";-26,4552715357143;-49,0957584714286;1;2013-01-01;2024-12-10
24051;"Brasil, 95900-000";-29,4545312709091;-51,9700115145455;1;2013-01-01;2024-12-10
24052;"Brasil, 88501-120";-15,935416;-57,0254782;1;2013-01-01;2022-05-27
24053;"Brasil, 89052-381";-26,8907295;-49,0704563833333;1;2013-01-01;2024-12-10
24054;"Brasil, 89805-203";-27,0716676;-52,6261423;1;2013-01-01;2022-11-10
24055;"Brasil, 60160-230";-3,73391958431373;-38,4947797313725;1;2013-01-01;2017-11-30
24056;"Brasil, 96020-080";-31,7655851833333;-52,3412450833333;1;2013-01-01;2014-10-30
24057;"Brasil, 13506-845";-24,29347895;-53,8516990043181;1;2013-01-01;2021-01-27
24058;"Brasil, 90020-015";-30,0305165545455;-51,2308674454545;1;2013-01-01;2022-05-27
24059;"Brasil, 96820-050";-29,7045429;-52,4298761;1;2013-01-01;2015-10-29
24060;"Brasil, 97050-531";-29,6901620537037;-53,7946972592593;1;2013-01-01;2024-12-10
24061;"Brasil, 88502-170";-30,54246435;-52,5282085894729;1;2013-01-01;2015-10-28
24062;"Brasil, 88132-149";-27,64149915;-48,6760914;1;2013-01-01;2024-12-10
24063;"Brasil, 90020-023";-30,8140061;-53,8971320153917;1;2013-01-01;2015-02-02
31752;"Brasil, 88901-004";-30,80640115;-53,9022601710399;1;2015-11-12;2024-12-10
24045;"Brasil, 88815-060";-23,2210055;-45,9012132;1;2013-01-01;2022-05-27
24046;"Brasil, 60150-162";-3,73731759310345;-38,4959994655172;1;2013-01-01;2022-05-05
30234;"Brasil, 20230-060";-22,9123434666667;-43,1804062333333;1;2015-09-10;2024-12-10
11942;"Brasil, 72010-020";-30,8147479;-53,8991252925057;1;2006-09-01;2013-03-13
6617;"Brasil, 25680-195";-30,5533138;-52,5270722101675;1;2000-03-01;2008-09-29
695;"Brasil, 27055-000";-21,053976;-49,6834459;1;1998-06-04;2004-05-30
685;"Brasil, 26610-001";-30,811577;-53,9006734255894;1;1984-04-02;2007-05-31
686;"Brasil, 26610-001";-30,811577;-53,9006734255894;1;1986-07-16;2007-05-31
696;"Brasil, 54325-000";-8,16602195714286;-34,9188137285714;1;1993-11-23;2004-05-30
697;"Brasil, 54325-000";-8,16602195714286;-34,9188137285714;1;1993-12-01;2004-05-30
687;"Brasil, 41820-020";-12,9815541125;-38,4571605;1;1975-07-09;2006-10-24
699;"Brasil, 60811-340";-3,7574591;-38,4869986;1;1985-05-31;2003-09-30
698;"Brasil, 31910-810";-24,29056495;-53,8266961902471;1;1991-09-04;2008-11-11
689;"Brasil, 20771-004";-22,8856317;-43,2939886;1;NA;2008-04-03
690;"Brasil, 22760-401";-22,9391712;-43,34489185;1;1999-08-03;2005-10-14
692;"Brasil, 20071-200";-30,5493977;-52,5277072281433;1;1997-10-23;2008-08-31
693;"Brasil, 23087-283";-30,5509622;-52,5214657804426;1;1997-10-23;2012-06-09
691;"Brasil, 23087-283";-30,5509622;-52,5214657804426;1;1997-10-23;2012-06-09
694;"Brasil, 40020-150";-23,4431576;-51,9705565;1;1973-11-05;2009-04-30
13587;"Brasil, 07252-000";-23,4458052285714;-46,4071842142857;1;2006-12-08;2009-09-30
