"REGISTRO_COMPLEXO";"CEP_COMPLEXO";"lat";"long";"certo"
3102;"Brasil, 84035-000";-21,053976;-49,6834459;1
24150;"Brasil, 13060-803";-22,9247795;-47,124968;1
3137;"Brasil, 15090-305";-20,84103585;-49,40140025;1
20405;"Brasil, 29160-161";-30,5468309;-52,5324457310307;1
2781;"Brasil, 13414-018";-22,7032228;-47,652692;1
6397;"Brasil, 79830-903";-9,9520284;-67,8354401;1
20363;"Brasil, 69914-220";-9,967945675;-67,8127711;1
3121;"Brasil, 17041-170";-30,54246435;-52,5282085894729;1
2328;"Brasil, 94010-000";-29,9449928;-50,9934745;1
2329;"Brasil, 95555-000";-29,7371794658537;-50,0068401609756;1
2327;"Brasil, 94480-500";-30,0633025;-51,1077439;1
21808;"Brasil, 89052-050";-26,888825;-49,0679599;1
20687;"Brasil, 89805-203";-27,0716676;-52,6261423;1
16304;"Brasil, 94902-970";-9,9445709;-67,8001442;1
24038;"Brasil, 88330-000";-26,99230982;-48,63246402;1
24039;"Brasil, 99010-050";-28,26288405;-52,40938255;1
24040;"Brasil, 95700-000";-29,1880531107143;-51,5391095714286;1
24042;"Brasil, 85810-230";-24,9506749;-53,4768675;1
24043;"Brasil, 13480-013";-30,81836325;-53,9064460505515;1
24044;"Brasil, 19013-030";-22,1315997;-51,3901637;1
24036;"Brasil, 71936-250";-15,8348863566667;-48,042879;1
24037;"Brasil, 60160-230";-3,73391958431373;-38,4947797313725;1
24041;"Brasil, 94950-001";-29,9377164;-51,0814800333333;1
34183;"Brasil, 94035-240";-29,9509977;-50,9961685;1
24064;"Brasil, 91110-000";-30,00463265;-51,1380829;1
24066;"Brasil, 91010-000";-30,0061148;-51,1844907;1
24065;"Brasil, 99050-000";-28,2413381;-52,379562575;1
24048;"Brasil, 88110-000";-15,61050205;-56,1544917542865;1
24049;"Brasil, 88301-320";-26,916135475;-48,6553508;1
24050;"Brasil, 89251-000";-26,4552715357143;-49,0957584714286;1
24051;"Brasil, 95900-000";-29,4545312709091;-51,9700115145455;1
24052;"Brasil, 88501-120";-15,935416;-57,0254782;1
24053;"Brasil, 89052-381";-26,8907295;-49,0704563833333;1
24054;"Brasil, 89805-203";-27,0716676;-52,6261423;1
24055;"Brasil, 60160-230";-3,73391958431373;-38,4947797313725;1
24056;"Brasil, 96020-080";-31,7655851833333;-52,3412450833333;1
24057;"Brasil, 13506-845";-24,29347895;-53,8516990043181;1
24058;"Brasil, 90020-015";-30,0305165545455;-51,2308674454545;1
24059;"Brasil, 96820-050";-29,7045429;-52,4298761;1
24060;"Brasil, 97050-531";-29,6901620537037;-53,7946972592593;1
24061;"Brasil, 88502-170";-30,54246435;-52,5282085894729;1
24062;"Brasil, 88132-149";-27,64149915;-48,6760914;1
24063;"Brasil, 90020-023";-30,8140061;-53,8971320153917;1
31752;"Brasil, 88901-004";-30,80640115;-53,9022601710399;1
24045;"Brasil, 88815-060";-23,2210055;-45,9012132;1
24046;"Brasil, 60150-162";-3,73731759310345;-38,4959994655172;1
24047;"Brasil, 88801-500";42,0549452;-7,800293;0
30234;"Brasil, 20230-060";-22,9123434666667;-43,1804062333333;1
11942;"Brasil, 72010-020";-30,8147479;-53,8991252925057;1
6617;"Brasil, 25680-195";-30,5533138;-52,5270722101675;1
695;"Brasil, 27055-000";-21,053976;-49,6834459;1
685;"Brasil, 26610-001";-30,811577;-53,9006734255894;1
686;"Brasil, 26610-001";-30,811577;-53,9006734255894;1
696;"Brasil, 54325-000";-8,16602195714286;-34,9188137285714;1
697;"Brasil, 54325-000";-8,16602195714286;-34,9188137285714;1
687;"Brasil, 41820-020";-12,9815541125;-38,4571605;1
699;"Brasil, 60811-340";-3,7574591;-38,4869986;1
698;"Brasil, 31910-810";-24,29056495;-53,8266961902471;1
689;"Brasil, 20771-004";-22,8856317;-43,2939886;1
690;"Brasil, 22760-401";-22,9391712;-43,34489185;1
692;"Brasil, 20071-200";-30,5493977;-52,5277072281433;1
693;"Brasil, 23087-283";-30,5509622;-52,5214657804426;1
691;"Brasil, 23087-283";-30,5509622;-52,5214657804426;1
694;"Brasil, 40020-150";-23,4431576;-51,9705565;1
13587;"Brasil, 07252-000";-23,4458052285714;-46,4071842142857;1
40962;"Brasil, 68515-000";-6,19301982;-49,6754547381818;1
42439;"Brasil, 88339-025";-30,8224748;-53,9041352064693;1
19459;"Brasil, 13150-000";-22,7010256;-47,1918445;1
12112;"Brasil, 04235-020";-30,8147479;-53,8991252925057;1
6606;"Brasil, 60020-180";-3,73744977615894;-38,535954089404;1
14337;"Brasil, 20021-140";-22,9343506434783;-43,176654126087;1
6632;"Brasil, 01012-000";-23,5509710666667;-46,6361310388889;1
11953;"Brasil, 70200-002";-15,816271525;-47,8543739;1
6718;"Brasil, 40025-000";-21,053976;-49,6834459;1
57126;"Brasil, 39272-106";-17,3381346;-44,9394877;1
32364;"Brasil, 04211-040";-23,5881036625;-46,6044326375;1
2262;"Brasil, 13050-008";-30,81313535;-53,9045640570984;1
2874;"Brasil, 54410-902";-8,1602792;-34,9284855;1
2263;"Brasil, 58037-000";-7,0969847;-34,8392156;1
